#t	I	B	f
23.401	2.274	820	NAN	
23.501	2.298	824	NAN	
23.601	2.316	829	NAN	
23.701	2.3505	836.5	NAN	
23.801	2.3655	840.5	NAN	
23.901	2.3745	843.5	NAN	
24.001	2.382	846	NAN	
24.101	2.3925	848.5	NAN	
24.201	2.394	849.5	NAN	
24.301	2.3985	850.5	NAN	
24.401	2.409	852	NAN	
24.501	2.424	856	NAN	
24.601	2.445	859.5	NAN	
24.701	2.4555	862	NAN	
24.801	2.466	865.5	NAN	
24.901	2.481	867.5	NAN	
25.001	2.49	870.5	NAN	
25.101	2.4945	872	NAN	
25.201	2.505	874	NAN	
25.301	2.514	876	NAN	
25.401	2.5275	878	NAN	
25.501	2.5575	883	NAN	
25.601	2.5785	888	NAN	
25.701	2.5845	890.5	NAN	
25.801	2.5965	893.5	NAN	
25.901	2.604	895	NAN	
26.001	2.61	896.5	NAN	
26.101	2.637	900.5	NAN	
26.201	2.6445	903	NAN	
26.301	2.652	905	NAN	
26.401	2.664	907	NAN	
26.501	2.67	908.5	NAN	
26.601	2.6805	910	NAN	
26.701	2.6955	913	NAN	
26.801	2.7075	915.5	NAN	
26.901	2.7135	917	NAN	
27.001	2.7195	918	NAN	
27.101	2.7345	920.5	NAN	
27.201	2.742	922	NAN	
27.301	2.7585	925	NAN	
27.401	2.775	928	NAN	
27.501	2.784	930	NAN	
27.601	2.793	931.5	NAN	
27.701	2.8065	934	NAN	
27.801	2.808	935.5	NAN	
27.901	2.814	936	NAN	
28.001	2.8215	937.5	NAN	
28.101	2.829	938.5	NAN	
28.201	2.832	939	NAN	
28.301	2.8425	940.5	NAN	
28.401	2.8455	942	NAN	
28.501	2.8485	942	NAN	
28.601	2.8545	943.5	NAN	
28.701	2.8605	944	NAN	
28.801	2.871	946	NAN	
28.901	2.8785	947.5	NAN	
29.001	2.8905	949.5	NAN	
29.101	2.9025	951.5	NAN	
29.201	2.913	953	NAN	
29.301	2.925	955	NAN	
29.401	2.931	956.5	NAN	
29.501	2.94	957.5	NAN	
29.601	2.9415	958.5	NAN	
29.701	2.946	959	NAN	
29.801	2.952	959.5	NAN	
29.901	2.958	961	NAN	
30.001	2.9625	961.5	NAN	
30.101	2.964	962	NAN	
30.201	2.982	963.5	NAN	
30.301	3	967.5	NAN	
30.401	2.9985	968	NAN	
30.501	2.997	968	NAN	
30.601	3.0015	968	NAN	
30.701	2.9955	967.5	NAN	
30.801	2.973	966.5	NAN	
30.901	2.9445	964	NAN	
31.001	2.889	959.5	NAN	
31.101	2.8575	956	NAN	
31.201	2.835	954	NAN	
31.301	2.823	952.5	NAN	
31.401	2.8095	951	NAN	
31.501	2.7975	950	NAN	
31.601	2.784	948.5	NAN	
31.701	2.7765	947.5	NAN	
31.801	2.76	946	NAN	
31.901	2.745	944	NAN	
32.001	2.73	942.5	NAN	
32.101	2.721	941	NAN	
32.201	2.703	939	NAN	
32.301	2.697	938.5	NAN	
32.401	2.6895	937	NAN	
32.501	2.67	935	NAN	
32.601	2.6505	932.5	NAN	
32.701	2.6325	930.5	NAN	
32.801	2.625	929	NAN	
32.901	2.6145	927.5	NAN	
33.001	2.598	925.5	NAN	
33.101	2.58	923	NAN	
33.201	2.5665	921	NAN	
33.301	2.55	919	NAN	
33.401	2.5335	916.5	NAN	
33.501	2.517	913.5	NAN	
33.601	2.508	912.5	NAN	
33.701	2.5005	911.5	NAN	
33.801	2.499	910.5	NAN	
33.901	2.4975	910	NAN	
34.001	2.4945	909.5	NAN	
