 H B
174 3956.2850652279926 0.657
175 3972.392190724508 0.659
176 3978.9693901928067 0.6605
177 3985.450625897039 0.6615
178 3996.7448064974133 0.663
179 4014.616186566086 0.666
180 4041.92152889891 0.669
181 4064.6058538637235 0.6725
182 4090.4348329165887 0.676
183 4116.359775733518 0.68
184 4135.803482846217 0.683
185 4156.819517002939 0.686
186 4189.1297317600365 0.6905
187 4215.054674576967 0.6945
188 4247.268925569998 0.6985
189 4261.899687786554 0.7010000000000001
190 4271.71750510697 0.7030000000000001
191 4281.439358663318 0.7045
192 4287.920594367551 0.7055
193 4302.455392820041 0.7075
194 4334.669643813072 0.7115
195 4350.776769309588 0.7135
196 4375.033421318427 0.717
197 4399.386037091332 0.721
198 4428.359670232247 0.7245
199 4467.151120693577 0.73
