28,9	2,487	868	NAN	
29	2,4975	870,5	NAN	
29,1	2,5065	873	NAN	
29,2	2,5095	874	NAN	
29,3	2,511	874,5	NAN	
29,4	2,5245	877	NAN	
29,5	2,5425	880,5	NAN	
29,6	2,553	882,5	NAN	
29,7	2,5605	885	NAN	
29,8	2,5875	888,5	NAN	
29,9	2,6085	893	NAN	
30	2,6145	896	NAN	
30,1	2,6175	897	NAN	
30,2	2,628	898,5	NAN	
30,3	2,6415	901	NAN	
30,4	2,652	903	NAN	
30,5	2,679	907,5	NAN	
30,6	2,6985	912,5	NAN	
30,7	2,7	914	NAN	
30,8	2,7015	914,5	NAN	
30,9	2,706	915	NAN	
31	2,7135	916	NAN	
31,1	2,7225	918	NAN	
31,2	2,7285	919,5	NAN	
31,3	2,7345	920,5	NAN	
31,4	2,739	921,5	NAN	
31,5	2,748	923	NAN	
31,6	2,7525	924	NAN	
31,7	2,7615	926	NAN	
31,8	2,772	927,5	NAN	
31,9	2,784	929,5	NAN	
32	2,799	932	NAN	
32,1	2,814	934	NAN	
32,2	2,8155	936	NAN	
32,3	2,817	936,5	NAN	
32,4	2,8215	937,5	NAN	
32,5	2,8275	938	NAN	
32,6	2,8335	939	NAN	
32,7	2,838	940	NAN	
32,8	2,844	941	NAN	
32,9	2,8485	942	NAN	
33	2,8575	943	NAN	
33,1	2,865	944,5	NAN	
33,2	2,865	945	NAN	
33,3	2,88	946,5	NAN	
33,4	2,91	951,5	NAN	
33,5	2,925	954,5	NAN	
33,6	2,9325	956	NAN	
33,7	2,94	957,5	NAN	
33,8	2,9415	958	NAN	
33,9	2,946	958,5	NAN	
34	2,949	959	NAN	
34,1	2,955	960	NAN	
34,2	2,961	961	NAN	
34,3	2,961	961	NAN	
34,4	2,9625	961,5	NAN	
34,5	2,9685	962,5	NAN	
34,6	2,967	962	NAN	
34,7	2,964	962	NAN	
34,8	2,925	960	NAN	
34,9	2,91	958	NAN	
35	2,8875	956,5	NAN	
35,1	2,8875	956	NAN	
35,2	2,868	954	NAN	
35,3	2,8515	953	NAN	
35,4	2,832	951	NAN	
35,5	2,8305	950,5	NAN	
35,6	2,817	949,5	NAN	
35,7	2,8155	949,5	NAN	
35,8	2,8155	949	NAN	
35,9	2,8005	947,5	NAN	
36	2,79	947	NAN	
36,1	2,787	946,5	NAN	
36,2	2,7795	946	NAN	
36,3	2,76	943,5	NAN	
36,4	2,7465	942	NAN	
36,5	2,745	941,5	NAN	
36,6	2,7375	940,5	NAN	
36,7	2,709	938	NAN	
36,8	2,6985	936	NAN	
36,9	2,679	934,5	NAN	
37	2,6715	932,5	NAN	
37,1	2,6535	931	NAN	
37,2	2,649	930	NAN	
37,3	2,6445	929	NAN	
37,4	2,643	929	NAN	
37,5	2,637	928	NAN	
37,6	2,6205	927	NAN	
37,7	2,61	925	NAN	
37,8	2,6085	924,5	NAN	
37,9	2,6025	924,5	NAN	
38	2,5875	923	NAN	
